#,Open Time,Type,Lots,Symbol,Price,Stop/Loss,Take Profit,Close Time,Close Price,Swap,Commission,Profit,Comment
105844093,2023.11.17 01:16,6,0.01,,0,0,0,2023.11.17 01:16,0,0,0,1000,
105845214,2023.11.17 03:50,1,0.12,EURUSD,1.08532,0,0,2023.11.17 09:10,1.0844,0,0,17.86,to #105848192
105845305,2023.11.17 03:54,1,0.12,EURUSD,1.08549,0,0,2023.11.17 09:10,1.0844,0,0,21.17,to #105848193
105848192,2023.11.17 03:50,1,0.11,EURUSD,1.08532,0,0,2023.11.17 10:09,1.08284,0,0,44.2,from #105845214
105848193,2023.11.17 03:54,1,0.11,EURUSD,1.08549,0,0,2023.11.17 10:09,1.08284,0,0,47.23,from #105845305
105874603,2023.11.21 04:30,1,0.07000000000000001,EURUSD,1.0956,1.10013,0,2023.11.21 18:26,1.09245,0,0,36.58,In-Trend Build Contrarian 23.6
105876546,2023.11.21 07:42,1,0.13,EURUSD,1.09578,1.10013,0,2023.11.21 11:55,1.09439,0,0,29.39,to #105880035
105879977,2023.11.21 11:48,1,0.13,EURUSD,1.09486,1.10013,0,2023.11.21 13:57,1.09401,0,0,18.1,to #105881450
105880035,2023.11.21 07:42,1,0.12,EURUSD,1.09578,1.10013,0,2023.11.21 13:57,1.09401,0,0,34.78,from #105876546
105881450,2023.11.21 11:48,1,0.12,EURUSD,1.09486,1.10013,0,2023.11.21 18:19,1.09319,0,0,33.24,from #105879977
105881799,2023.11.21 14:21,1,0.14,EURUSD,1.09424,1.10013,0,2023.11.21 18:18,1.09344,0,0,18.54,to #105886219
105883808,2023.11.21 16:20,1,0.14,EURUSD,1.09562,1.10013,0,2023.11.21 18:03,1.09392,0,0,39.53,to #105885997
105885996,2023.11.21 18:03,1,0.14,EURUSD,1.09379,0,0,2023.11.21 18:21,1.09287,0,0,21.37,to #105886276
105885997,2023.11.21 16:20,1,0.13,EURUSD,1.09562,1.10013,0,2023.11.21 18:04,1.09386,0,0,38.02,from #105883808
105886219,2023.11.21 14:21,1,0.13,EURUSD,1.09424,1.10013,0,2023.11.21 18:26,1.09245,0,0,38.61,from #105881799
105886276,2023.11.21 18:03,1,0.13,EURUSD,1.09379,0,0,2023.11.22 01:03,1.09159,2.38,0,49.29,from #105885996
105899974,2023.11.22 15:35,1,0.17,EURUSD,1.09036,0,0,2023.11.22 15:48,1.08936,0,0,28.53,to #105900177
105899993,2023.11.22 15:37,1,0.17,EURUSD,1.09007,0,0,2023.11.22 15:48,1.08938,0,0,19.69,to #105900178
105900107,2023.11.22 15:42,1,0.17,EURUSD,1.08979,0,0,2023.11.22 16:04,1.08901,0,0,22.23,to #105900480
105900177,2023.11.22 15:35,1,0.16,EURUSD,1.09036,0,0,2023.11.22 16:04,1.08885,0,0,40.51,from #105899974
105900178,2023.11.22 15:37,1,0.16,EURUSD,1.09007,0,0,2023.11.22 16:05,1.08844,0,0,43.76,from #105899993
105900189,2023.11.22 15:49,1,0.17,EURUSD,1.08923,0,0,2023.11.22 16:05,1.08844,0,0,22.53,to #105900514
105900480,2023.11.22 15:42,1,0.16,EURUSD,1.08979,0,0,2023.11.22 16:14,1.08795,0,0,49.31,from #105900107
105900514,2023.11.22 15:49,1,0.17,EURUSD,1.08923,0,0,2023.11.22 16:14,1.08731,0,0,54.65,from #105900189
105900579,2023.11.22 16:08,1,0.19,EURUSD,1.08863,0,0,2023.11.22 16:14,1.08731,0,0,41.99,to #105900701
105900701,2023.11.22 16:08,1,0.18,EURUSD,1.08863,0,0,2023.11.22 17:00,1.08705,0,0,47.88,from #105900579
105901292,2023.11.22 16:42,1,0.2,EURUSD,1.08845,0,0,2023.11.22 17:00,1.08718,0,0,42.77,to #105901537
105912768,2023.11.23 04:08,1,0.22,EURUSD,1.08965,0,0,2023.11.23 16:25,1.08881,0,0,30.19,to #105922531
105914799,2023.11.23 06:54,1,0.22,EURUSD,1.09022,0,0,2023.11.23 16:25,1.08881,0,0,50.67,to #105922532
